x0,y0,x1,y1,value (%)
0,0,2.85,2.85,0.000000e+00
0,2.85,2.85,5.7,0.000000e+00
0,5.7,2.85,8.55,0.000000e+00
0,8.55,2.85,11.4,1.466667e+01
0,11.4,2.85,14.25,1.351402e+01
0,14.25,2.85,17.1,1.066778e+01
0,17.1,2.85,19.95,1.351462e+01
0,19.95,2.85,22.8,1.298812e+01
0,22.8,2.85,25.65,1.232987e+01
0,25.65,2.85,28.5,1.315900e+01
0,28.5,2.85,31.35,1.200111e+01
0,31.35,2.85,34.2,1.351462e+01
0,34.2,2.85,37.05,1.168942e+01
0,37.05,2.85,39.9,1.369974e+01
0,39.9,2.85,42.75,1.200111e+01
0,42.75,2.85,45.6,1.333444e+01
0,45.6,2.85,48.45,1.066778e+01
0,48.45,2.85,51.3,1.200111e+01
0,51.3,2.85,54.15,1.600111e+01
0,54.15,2.85,57,1.066778e+01
0,57,2.85,59.85,1.216327e+01
0,59.85,2.85,62.7,1.447479e+01
0,62.7,2.85,65.55,1.232987e+01
0,65.55,2.85,68.4,1.168942e+01
0,68.4,2.85,71.25,1.216327e+01
0,71.25,2.85,74.1,1.333444e+01
0,74.1,2.85,76.95,1.315900e+01
0,76.95,2.85,79.8,1.096001e+01
0,79.8,2.85,82.65,1.200111e+01
0,82.65,2.85,85.5,1.579058e+01
0,85.5,2.85,88.35,1.066778e+01
0,88.35,2.85,91.2,1.232987e+01
0,91.2,2.85,94.05,1.447479e+01
0,94.05,2.85,96.9,1.200111e+01
0,96.9,2.85,99.75,1.081192e+01
0,99.75,2.85,102.6,1.428682e+01
0,102.6,2.85,105.5,1.096001e+01
0,105.5,2.85,108.3,1.447479e+01
0,108.3,2.85,111.2,1.081192e+01
0,111.2,2.85,114,1.333444e+01
0,114,2.85,116.8,1.466777e+01
0,116.8,2.85,119.7,1.066778e+01
0,119.7,2.85,122.5,1.200111e+01
0,122.5,2.85,125.4,1.333444e+01
0,125.4,2.85,128.2,1.333444e+01
0,128.2,2.85,131.1,1.096001e+01
0,131.1,2.85,133.9,1.428682e+01
0,133.9,2.85,136.8,1.216327e+01
0,136.8,2.85,139.7,1.200111e+01
0,139.7,2.85,142.5,1.184321e+01
0,142.5,2.85,145.3,1.232987e+01
0,145.3,2.85,148.2,1.558552e+01
0,148.2,2.85,151.1,1.081192e+01
0,151.1,2.85,153.9,1.466777e+01
0,153.9,2.85,156.8,1.756868e+01
0,156.8,2.85,159.6,1.333444e+01
0,159.6,2.85,162.4,1.351462e+01
0,162.4,2.85,165.3,1.558552e+01
0,165.3,2.85,168.2,1.066778e+01
0,168.2,2.85,171,1.232987e+01
0,171,2.85,173.8,1.579058e+01
0,173.8,2.85,176.7,1.081192e+01
0,176.7,2.85,179.6,1.200111e+01
0,179.6,2.85,182.4,1.466777e+01
0,182.4,2.85,185.2,1.200111e+01
0,185.2,2.85,188.1,1.184321e+01
0,188.1,2.85,190.9,1.216327e+01
0,190.9,2.85,193.8,1.466777e+01
0,193.8,2.85,196.7,1.200111e+01
0,196.7,2.85,199.5,1.066778e+01
0,199.5,2.85,202.3,1.351462e+01
0,202.3,2.85,205.2,1.447479e+01
0,205.2,2.85,208.1,1.096001e+01
0,208.1,2.85,210.9,1.066778e+01
0,210.9,2.85,213.8,1.558552e+01
0,213.8,2.85,216.6,1.216327e+01
0,216.6,2.85,219.4,1.066778e+01
0,219.4,2.85,222.3,1.486597e+01
0,222.3,2.85,225.2,1.333444e+01
0,225.2,2.85,228,1.184321e+01
0,228,2.85,230.8,1.066778e+01
0,230.8,2.85,233.7,1.200111e+01
0,233.7,2.85,236.6,1.621732e+01
0,236.6,2.85,239.4,1.066778e+01
0,239.4,2.85,242.2,1.216327e+01
0,242.2,2.85,245.1,1.298812e+01
0,245.1,2.85,247.9,1.369974e+01
0,247.9,2.85,250.8,1.066778e+01
0,250.8,2.85,253.7,1.466777e+01
0,253.7,2.85,256.5,1.333444e+01
0,256.5,2.85,259.4,1.066778e+01
0,259.4,2.85,262.2,1.200111e+01
0,262.2,2.85,265.1,1.200111e+01
0,265.1,2.85,267.9,1.600111e+01
